input_source,layer,sample_id,relevance,clarity,answerability,challenging,value,language,manipulation_handling,answer_problems,comments
script,2,001,,,,,,,0,,
script,3,002,,,,,,,0,,
script,4,003,,,,,,,0,,
script,5,004,,,,,,,5,,
script,5,005,,,,,,,5,,
script,6,006,,,,,,,0,,
script,3,007,,,,,,,5,,
script,7,008,,,,,,,0,,
script,4,009,,,,,,,0,,
script,6,010,,,,,,,0,,
script,4,011,,,,,,,0,,
script,5,012,,,,,,,5,,
script,2,013,,,,,,,0,,
script,5,014,,,,,,,0,,
script,5,015,,,,,,,0,,
script,6,016,,,,,,,????,,
