input_source;layer;sample_id;relevance;clarity;answerability;challenging;value;language;manipulation_handling;answer_problems;comments
script;2;1;10;10;10;2;5;10;10;;
script;3;2;10;10;10;2;5;10;10;;
script;4;3;10;8;8;5;8;9;8;;
script;5;4;10;5;5;8;2;8;8;;
script;5;5;10;10;8;5;5;10;10;;
script;6;6;10;8;8;5;2;8;10;;
script;3;7;10;5;5;5;2;5;10;;
script;7;8;1;2;2;8;1;8;10;;
script;4;9;10;2;2;5;1;1;10;;
script;6;10;10;2;5;5;5;8;10;;
script;4;11;5;1;2;8;1;2;1;;
script;5;12;5;1;2;8;1;2;8;;
script;2;13;10;10;10;2;5;10;10;;
script;5;14;10;10;10;2;5;10;10;;
script;5;15;10;5;10;5;8;10;1;;
script;6;16;10;5;5;8;2;5;10;;
