"sample_id","relevance","clarity","answerability","challenging","value","language","bloom_rating","answer_problems","comments"
1,10,10,10,4,8,10,1,,
2,8,8,10,8,8,7,2,,
3,8,8,8,10,8,7,4,,
4,10,8,8,10,8,10,"(4;2)",,
5,8,10,6,2,4,7,1,,"Kein Operator ""Beschreibe auf welcher ?""oder was mit identfizieren"
6,8,8,8,8,8,7,"(1;2)",,"Kein Operator"
7,10,10,8,8,8,10,"(1;2)",,
8,10,10,8,10,8,10,"(1;2)",,
9,10,10,10,6,8,10,2,,"Kein Operator"
10,8,10,6,6,10,10,2,,
11,10,8,10,8,8,5,"(4;1)",,
12,10,8,6,10,8,5,2,,
13,8,10,10,2,10,10,1,,
14,8,8,10,6,8,7,1,,"Kein Operator"
15,10,8,8,10,8,7,"(1;2)",,"Zu viele Fragen in einer"
16,8,8,6,8,8,7,2,,"Zu lang - drei Fragen in einer"
