"sample_id","relevance","clarity","answerability","challenging","value","language","bloom_rating","answer_problems","comments"
1,10,10,10,0,6,10,1,,
2,10,10,8,8,10,10,4,,
3,10,10,8,6,8,10,"(1;2)",,
4,6,6,6,6,8,5,4,,"Viele unnötige Fremdwörter, die den Sinn der Aufgabe verkomplizieren"
5,10,10,10,4,8,10,2,,
6,10,8,10,4,8,10,2,,
7,10,10,10,4,10,10,1,,
8,8,8,6,8,8,7,"(4;6)",,
9,10,10,6,8,10,7,4,,
10,8,10,8,8,8,7,4,,
11,10,10,10,2,10,10,1,,
12,6,8,8,8,8,7,4,,
13,10,10,10,2,10,10,1,,
14,8,8,8,8,10,7,4,,
15,8,6,6,8,8,5,"(4;6)",,"Für mich ist nicht erkenntlich was die eigentliche Aufgabe dieser ""Frage"" ist."
16,8,10,6,6,10,7,"(4;5;6)",,
