input_source,layer,sample_id,relevance,clarity,answerability,challenging,correctness,value,language,answer_problems,comments
script,3,001,10,10,10,6,10,10,10,,
script,5,002,10,10,10,6,10,10,10,,
script,1,003,8,4,6,10,10,6,3,,Kommentar in Mail
script,3,004,10,4,6,8,5,4,5,,Kommentar in Mail
tanenbaum,4,005,10,10,10,6,5,10,10,"2, 6",Kommentar in Mail
tanenbaum,7,006,10,10,10,2,10,10,10,,
tanenbaum,2,007,8,6,6,10,??,4,7,,Kommentar in Mail
tanenbaum,3,008,2,2,2,10,??,2,7,,
transcript,2,009,10,10,10,2,10,10,10,,
transcript,5,010,10,10,10,4,10,10,10,,
transcript,1,011,10,2,4,10,5,0,7,,
transcript,5,012,10,10,6,6,10,8,10,,
script,2,013,10,10,10,0,10,10,10,,
script,3,014,10,10,10,4,10,10,10,,
script,1,015,2,6,2,10,5,4,10,1,
script,4,016,10,10,6,8,5,4,10,2,
tanenbaum,4,017,10,10,10,0,???,???,10,2,
tanenbaum,5,018,10,10,10,0,10,???,10,1,
tanenbaum,3,019,10,10,10,6,10,10,10,,
tanenbaum,7,020,10,10,4,10,5,2,10,3,
transcript,2,021,10,10,10,2,10,10,10,,
transcript,6,022,10,10,10,2,10,10,10,,
transcript,2,023,10,10,10,0,10,0,10,,
transcript,7,024,2,10,10,0,10,0,10,,
script,2,025,10,10,10,2,0,0,10,"1, 2, 3, 4, 5",
script,5,026,10,10,10,2,10,10,10,,
script,2,027,10,6,6,10,0,4,7,,
script,5,028,10,6,6,10,???,6,7,"1,  ",
tanenbaum,2,029,10,10,8,4,10,10,10,,
tanenbaum,4,030,10,10,10,2,10,10,10,,
tanenbaum,2,031,10,2,2,10,0,0,3,,
tanenbaum,3,032,6,2,0,10,???,2,5,,
transcript,2,033,10,10,10,2,10,10,10,,
transcript,4,034,10,10,10,2,10,10,10, ,
transcript,1,035,??,??,??,??,??,???,3,???,
transcript,3,036,10,8,10,4,10,10,7,??? Nur eine Antwort,
script,2,037,10,10,10,2,10,10,10,,
script,3,038,10,10,10,2,10,10,10,,
script,2,039,10,10,10,2,10,10,10,,
script,5,040,10,10,10,6,10,10,10,,
tanenbaum,1,041,10,10,10,2,10,10,10,,
tanenbaum,2,042,10,10,10,2,10,10,10,,
tanenbaum,2,043,10,10,2,10,10,10,10,,
tanenbaum,5,044,10,10,10,2,10,10,10,,
transcript,1,045,10,10,10,2,10,10,10,,
transcript,4,046,10,10,10,2,10,10,10,,
transcript,5,047,10,10,10,4,10,10,10,,
transcript,6,048,10,10,10,2,10,10,10,,
