"sample_id","relevance","clarity","answerability","challenging","value","language","bloom_rating","answer_problems","comments"
1,10,10,10,2,10,10,1,,"Keinen Operator, aber es geht um Auswählen der richtigen Antwortmöglichkeit"
2,4,10,6,8,10,10,"(1;3)",,"Level 1 - Auswählen der richtigen Antwort; Level 3 - Anwenden des vorhandenen Wissens auf das Fallbeispiel"
3,10,10,10,4,10,10,2,,"Beschreiben, erläutern - Level 2"
4,6,10,6,10,10,10,"(2;4)",,"Erklären - Level 2; Analysieren - Level 4"
5,10,10,10,4,10,10,1,,"Auswählen der richtigen Antwort durch vorhandenes Wissen aus dem Text"
6,10,10,10,8,10,10,1,,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort"
7,10,10,10,2,10,10,1,,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort"
8,4,10,4,10,10,10,"(5;6)",,"Entwerfen - Level 6; Erläutern - Level 5"
9,4,10,6,8,10,10,"(1;3)",,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1; Anwenden auf ein Fallbeispiel - Level 3"
10,6,10,8,10,10,10,"(1;3;4)",,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1; Anwenden auf ein Fallbeispiel - Level 3; Prüfen - Level 4"
11,10,10,10,2,10,10,1,,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1"
12,8,10,8,10,10,10,"(1;4)",,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1; Analysieren & Unterscheiden - Level 4"
13,10,10,10,4,10,10,1,,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1"
14,8,10,8,8,10,10,"(1;6)",,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1; Entwickeln - Level 6"
15,8,10,8,10,10,10,3,,"Anwenden auf ein Fallbeispiel, Ermitteln, Veranschaulichen - Level 3"
16,6,10,6,10,10,10,"(1;2;4)",,"Abrufen von vorhandenem Wissen und Auswählen der korrekten Antwort - Level 1; Analysieren - Level 4; Erläutern - Level 2"
