"sample_id","relevance","clarity","answerability","challenging","value","language","bloom_rating","answer_problems","comments"
1,10,10,10,6,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens"
2,10,10,10,8,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens"
3,10,10,6,8,10,10,"(1;4)",,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1; Analysieren - Level 4"
4,10,10,6,10,10,10,"(2;4)",,"Erläutern - Level 2; Analysieren - Level 4"
5,10,10,10,6,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1"
6,10,10,10,8,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1"
7,10,10,10,8,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1"
8,10,10,8,8,10,10,"(1;2)",,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1; Vergleichen - Level 2"
9,10,10,10,10,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens"
10,10,10,10,8,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1"
11,6,10,6,10,10,10,"(1;4)",,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1; Analysieren - Level 4"
12,8,10,8,8,10,10,"(1;5)",,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1; Erläutern - Level 5"
13,10,10,10,6,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1"
14,10,10,10,6,10,10,1,,"Auswählen der korrekten Antwort durch Reak vieren des vorhandenen Wissens - Level 1"
15,6,10,4,10,10,10,"(2;3)",,"Erläutern - Level 2; Lösen/Skizzieren eines Lösungsansatzes - Level 3"
16,6,10,4,8,10,10,2,,"Vergleichen - Level 2"
