input_source,layer,sample_id,relevance,clarity,answerability,challenging,value,language,manipulation_handling,answer_problems,comments
script,2,1,10,10,10,1,10,10,0,,
script,3,2,10,10,10,1,10,10,0,,
script,4,3,7,10,6,6,8,10,3,,"Referenz zur in einer Klausur nicht vorhandenen Text, LLM scheint schon zu verstehen dass die Beschreibung keinem vernünftigen Layer entspricht"
script,5,4,10,10,10,6,10,10,10,,„Gegebener Text“
script,5,5,10,10,10,1,10,10,0,,„Gegebener Text“
script,6,6,10,10,10,1,10,10,0,,„Gegebener Text“
script,3,7,10,10,10,4,10,10,10,,„Gegebener Text“
script,7,8,10,10,10,1,10,10,0,,
script,4,9,10,10,10,1,10,10,0,,„Gegebener Text“
script,6,10,10,9,10,1,10,10,0,,„Gegebener Text“
script,4,11,10,10,8,6,10,10,7,,„Gegebener Text“
script,5,12,10,10,9,7,10,10,10,,„Gegebener Text“
script,2,13,10,10,10,1,10,10,0,,„Gegebener Text“
script,5,14,10,10,10,1,10,10,0,,„Gegebener Text“
script,5,15,10,6,8,6,10,8,10,,„Gegebener Text“
script,6,16,10,9,8,4,10,10,8,,„Gegebener Text“
