input_source;layer;sample_id;relevance;clarity;answerability;challenging;value;language;correctness;answer_problems;comments
script;3;1;10;10;10;4;10;10;10;0;
script;5;2;10;10;10;2;10;10;10;0;
script;1;3;6;7;2;8;6;6;8;0;Lässt sich das ohne weiteres aus dem Script so entnehmen? Mehr Wissen notwendig
script;3;4;8;7;5;8;8;8;8;0;Selbes Spiel, aber nicht ganz so schlimm
tanenbaum;4;5;10;10;10;4;10;10;10;0;
tanenbaum;7;6;10;10;10;2;8;10;10;0;„gemäß dem Text“ ist hier unpassend befürchte ich, weil sonst wäre das ja keine Challenge
tanenbaum;2;7;8;6;5;7;10;5;7;0;den zweiten Teil der Frage finde ich problematisch, „erläutern“ aber kein Freifeld?
tanenbaum;3;8;10;10;10;2;8;7;10;0;„basierend auf dem Text“ — wieder dieses Problem
transcript;2;9;10;6;10;2;8;10;9;2;Segmentierung und Medienzugriff finde ich nicht so gut erklärt bei den Antwortmöglichkeiten
transcript;5;10;10;10;10;2;10;10;10;0;
transcript;1;11;4;4;8;4;6;7;2;1;Ganz merkwürdige Frage. Lässt sich aber mit den gegebenen Möglichkeiten einfach beantworten, „über medienfrei“
transcript;5;12;10;10;10;4;10;10;10;0;Sehr schön!
script;2;13;10;10;10;2;10;10;9;2;Selbes wie bei Frage 9, aber das liegt wohl am Input
script;3;14;10;10;10;2;6;10;10;0;Sehr einfach, da nur eine Auswahl richtig ist
script;1;15;10;10;10;3;4;8;10;0;Ebenfalls sehr einfach
script;4;16;10;6;10;1;8;8;10;0;Leistungsgarantien evtl. mit Beispiel, aber dann noch viel einfacher
tanenbaum;4;17;10;10;10;1;10;10;10;0;
tanenbaum;5;18;10;10;10;2;10;10;10;0;Multiple Choice wäre hier wahrscheinlich sinnvoller, weiter oben auch schon bei den sehr einfachen Fragen
tanenbaum;3;19;10;10;10;3;6;8;10;0;„im Text“ — ab sofort lasse ich das weg.
tanenbaum;7;20;10;10;10;2;8;10;10;0;
transcript;2;21;10;10;10;2;6;10;10;0;Ebenfalls Multiple Choice für höheren Schwierigkeitsgrad. Auch das lasse ich jetzt zukünftig weg
transcript;6;22;10;10;10;2;6;10;10;0;
transcript;2;23;10;10;10;2;10;10;10;0;
transcript;7;24;8;10;8;4;8;10;10;0;Würde eher als Freitextfrage passen
script;2;25;10;10;10;2;8;10;10;0;
script;5;26;10;10;10;2;10;10;10;0;
script;2;27;10;7;10;3;6;6;6;2;Frage sehr lang und ich befürchte, dass andere Antworten auch teilweise korrekt sind
script;5;28;10;6;10;5;6;6;10;0;Ebenfalls sehr lang und kompliziert formuliert
tanenbaum;2;29;10;10;10;3;4;10;10;0;Nur eine falsche Antwort
tanenbaum;4;30;10;10;10;3;4;10;10;0;
tanenbaum;2;31;10;7;10;5;6;4;10;0;keine falsche Antwort, Frage mit Antworten länger als Eingabetext
tanenbaum;3;32;8;6;6;4;6;4;10;0;
transcript;2;33;10;10;10;3;6;10;10;0;
transcript;4;34;10;10;10;2;4;10;10;0;
transcript;1;35;4;10;10;5;8;6;10;0;Frage würde ich nicht stellen, passt auch nur sehr wenig zum originalen Text
transcript;3;36;10;10;10;0;0;0;10;0;Warum nur eine Antwortmöglichkeit?
script;2;37;10;10;10;3;10;10;10;0;
script;3;38;10;10;10;3;10;10;10;0;
script;2;39;10;10;10;2;10;8;10;0;
script;5;40;10;10;10;0;0;0;6;0;Wieder nur eine Antwort 
tanenbaum;1;41;10;10;10;1;10;10;10;0;
tanenbaum;2;42;10;10;10;3;10;10;10;0;
tanenbaum;2;43;10;10;10;0;0;6;0;0;
tanenbaum;5;44;10;10;10;2;8;4;10;0;Multiple Choice
transcript;1;45;10;10;10;3;10;10;10;0;
transcript;4;46;10;10;10;2;10;10;10;0;
transcript;5;47;10;10;10;4;2;10;10;0;„…wären hier fehl am Platz?“ etwas komisch, da unendliche viele Möglichkeiten. Es geht aber keine Antwort darauf ein
transcript;6;48;10;10;10;3;2;10;10;0;
